section,metric,pre_agent,triage_v1,multi_agent,proactive,unit,notes
rollout,operational_availability,91.393,96.293,98.366,99.661,percent,"(Available + Allocated) / non-deallocated observed time"
rollout,incident_rate,18.564,4.549,6.544,4.217,incidents_per_1000_node_days,"available-to-cordoned, excluding onboarding transitions"
rollout,p90_recovery_time,150.44,143.38,105.27,33.09,hours,"failure to next available state"
rollout,recovered_within_24h,56.1,20.7,47.2,70.1,percent,"eventual recovery latency"
rollout,recovered_within_72h,84.1,64.7,79.8,100.0,percent,"eventual recovery latency"
rollout,triage_coverage,44.6,100.0,100.0,100.0,percent,"bounded triage event before recovery"
rollout,unknown_classification_share,56.1,5.2,31.5,4.1,percent,"dashboard-compatible recovery-path classification"
before_after,availability_change,91.393,,,99.661,percent,"+8.268 percentage points"
before_after,incident_rate_ratio,1.0,,,0.227,ratio,"95% CI 0.185-0.280; 77.3% lower rate"
before_after,p90_recovery_change,150.44,,,33.09,hours,"78.0% lower"
full_period,inventory_nodes,1278,,,,nodes,"latest inventory record before 2026-06-26"
full_period,inventory_racks,152,,,,racks,"latest inventory record before 2026-06-26"
full_period,observed_node_days,145860.5,,,,node_days,"3500652.4 observed node-hours"
full_period,operational_availability,95.501,,,,percent,"full study window"
full_period,qualifying_incidents,1530,,,,incidents,"936 distinct affected nodes"
full_period,median_recovery_time,18.87,,,,hours,"eventual recovery"
full_period,p90_recovery_time,143.98,,,,hours,"eventual recovery"
full_period,hardware_incident_share,32.9,,,,percent,"503 incidents"
full_period,platform_incident_share,22.5,,,,percent,"344 incidents"
full_period,unknown_incident_share,44.6,,,,percent,"683 incidents"
agent_activity,investigation_cases,327,,,,records,"coverage 2026-05-18 to 2026-06-11"
agent_activity,evidence_records,18304,,,,records,"617 distinct nodes; coverage begins 2026-04-23"
agent_activity,proactive_findings,3865,,,,records,"128 confirmed, 771 rejected, 2966 unjudged"
agent_activity,findings_with_repair_outcome,0,,,,records,"prevents direct causal attribution"
